M31N	RA	DEC	UVIT field	Each Epoch detection	Discovery JD	MAG	MAG_err	Filt	T2	T2_err	alternative names	F148W mag	F148W err	F148W upper limit	F172M mag	F172M err	F172M upper limit	F169M mag	F169M err	F169M upper limit	N219M mag	N219M err	N219M upper limit	N279N mag	N279N err	N279N upper limit
2022-01b	00 : 41 : 31.30	 + 41 : 11 : 48.0	4	N	2459599.59	17.3		G			AT2022aaz	99	99	23.326	99	99	22.199				99	99	22.486	99	99	22.266
2022-01a	00 : 43 : 09.28	 + 41 : 16 : 01.1	1	N	2459590.05	17.5		w			AT2022uz XM63MZ PNV J00430928+4116013	99	99	23.644	99	99	22.945	99	99	22.955	99	99	22.083	99	99	21.526
2021-11a	00 : 42 : 07.60	 + 41 : 09 : 12.3	1	N	2459539.09	18.9		G			PNV J00420760+4109123	99	99	24.081	99	99	23.236	99	99	22.626	99	99	22.083	99	99	21.526
2021-11b	00 : 45 : 28.84	 + 41 : 54 : 09.6	8	N	2459532.88	18.3		w			RN M31N 2008-12a	99	99	23.009	99	99	24.374				99	99	22.055	99	99	21.441
2021-10c	00 : 42 : 54.27	 + 41 : 16 : 50.6	1	N	2459519.2	17.1		w			PNV J00425423+4116505 AT2021acwv XM60MZ	99	99	23.166	99	99	22.204	99	99	22.482	99	99	21.771	99	99	21.007
2021-10a	00 : 43 : 14.53	 + 41 : 21 : 09.9	1	N	2459511.3	17.1		w			PNV J00431453+4121099 AT2021acbn	99	99	23.681	99	99	22.988	99	99	22.626	99	99	22.083	99	99	21.526
2021-09c	00 : 42 : 41.23	 + 41 : 14 : 32.2	1	N	2459476.11	17.5		o			PNV J00424123+2114322 AT2021zdh XM58MZ	99	99	22.959	99	99	22.237	99	99	22.121	99	99	21.749	99	99	20.768
2021-09b	00 : 43 : 22.62	 + 41 : 19 : 02.4	1	N	2459468.94	16.3		r			PNV J00432268+4119025 AT2021ypn PSP21I	99	99	23.687	99	99	23.124	99	99	22.626	99	99	22.083	99	99	21.526
2021-09a	00 : 42 : 42.97	 + 41 : 17 : 57.4	1	N	2459468.47	16.4		R			PNV J00424297+4117574 AT2021ypn PSP21H	99	99	23.238	99	99	22.51	99	99	22.57	99	99	22.046	99	99	21.087
2021-08a	00 : 42 : 39.58	 + 41 : 09 : 05.5	1	N	2459435.53	18.7		R			RN M31N 1997-11k AT2021vgi	99	99	23.813	99	99	23.023	99	99	22.626	99	99	22.083	99	99	21.526
2021-07e	00 : 42 : 45.35	 + 41 : 52 : 22.6	10	N	2459422.37	17.8		w			PNV J00424542+4152233 AT2021urk XM56MZ	99	99	22.877	99	99	22.168				99	99	22.783			
2021-07d	00 : 42 : 00.58	 + 41 : 08 : 48.3	1	Y	2459420.38	19.3		w			PNV J00420058+4108483 XM57MZ	23.214	0.091	99	23.76	0.325	99	22.405	0.173	99	99	99	22.083	99	99	21.526
2021-07c	00 : 42 : 17.92	 + 41 : 00 : 18.5	3	N	2459399.89	18.3		r			AT2021scd ZTF21abjiotr	99	99	22.833	99	99	22.069				99	99	22.362	99	99	21.869
2021-07b	00 : 42 : 47.17	 + 41 : 18 : 17.3	1	N	2459399.53	16.8		o			PNV J00424717+4118173 AT2021ssc XM55MZ	99	99	23.272	99	99	22.454	99	99	22.623	99	99	22.047	99	99	21.119
2021-07a	00 : 42 : 38.04	 + 41 : 08 : 41.3	1	N	2459398.26	17.3		o			RN M31N 1923-12c PNV AT2021rno PSP21B	99	99	23.889	99	99	22.874	99	99	22.626	99	99	22.083	99	99	21.526
2021-06b	00 : 42 : 58.97	 + 41 : 18 : 08.5	1	N	2459377.56	16.6		w			PNV J00425897+4118085 AT2021poc	99	99	23.562	99	99	22.671	99	99	22.776	99	99	22.034	99	99	21.444
2021-06a	00 : 43 : 05.89	 + 41 : 15 : 48.2	1	N	2459370.51	17		w			PNV J00430587+4115480 AT2021pap XM54MZ	99	99	23.59	99	99	23.015	99	99	22.966	99	99	22.083	99	99	21.454
2021-04b	00 : 42 : 46.56	 + 41 : 14 : 26.3	1	N	2459321.42	18		w			AT2021jwr XM53MZ	99	99	23.008	99	99	22.248	99	99	22.429	99	99	21.627	99	99	20.994
2021-04a	00 : 43 : 10.63	 + 41 : 26 : 04.5	1	N	2459319.53	18.2		w			AT2021jsz MASTER OT Joo4310.68+412604.3	99	99	23.912	99	99	23.146	99	99	22.626	99	99	22.083	99	99	21.526
2021-03b	00 : 43 : 40.13	 + 41 : 27 : 12.3	2	N	2459280.25	16.1		w			PNV J00434013+4127123 AT2021fbz XN03JR	99	99	23.421	99	99	21.484				99	99	22.012	99	99	21.334
